"","X","Language","World.Region","Language.Family","Latitude","Longitude","class"
"1",1,"Abaza","Western Asia","Abkhaz-Adyge",40.938823,-74.20013,"Asia"
"2",2,"Abruzzese","Southern Europe","Indo-European",40.773556,-73.927065,"Europe"
"3",3,"Abruzzese","Southern Europe","Indo-European",40.71870175,-73.99578719,"Europe"
"4",4,"Acehnese","Southeastern Asia","Austronesian",40.759046,-73.90984,"Asia"
"5",5,"Acehnese","Southeastern Asia","Austronesian",40.74409,-73.883277,"Asia"
"6",7,"Adyghe","Western Asia","Abkhaz-Adyge",40.938436,-74.201318,"Asia"
"7",21,"Aklanon","Southeastern Asia","Austronesian",40.747282,-73.900335,"Asia"
"8",23,"Alsatian","Western Europe","Indo-European",40.758302,-73.953521,"Europe"
"9",24,"Amdo Tibetan","Eastern Asia","Sino-Tibetan",40.70228112,-73.98375193,"Asia"
"10",25,"Amdo Tibetan","Eastern Asia","Sino-Tibetan",40.747428,-73.891413,"Asia"
"11",31,"Ancient Greek","Southern Europe","Indo-European",40.72359,-74.006388,"Europe"
"12",34,"Arbëresh","Southern Europe","Indo-European",40.553878,-74.137489,"Europe"
"13",35,"Arbëresh","Southern Europe","Indo-European",40.72292322,-73.99188292,"Europe"
"14",36,"Aromanian","Southern Europe","Indo-European",40.70370922,-73.903396,"Europe"
"15",37,"Aromanian","Southern Europe","Indo-European",41.23495,-73.21967,"Europe"
"16",41,"Assyrian Neo-Aramaic","Western Asia","Afro-Asiatic",40.923615,-73.899727,"Asia"
"17",42,"Asturian","Southern Europe","Indo-European",40.758723,-73.917829,"Europe"
"18",44,"Austrian German","Western Europe","Indo-European",40.783122,-73.844181,"Europe"
"19",45,"Austrian German","Western Europe","Indo-European",40.759479,-73.975329,"Europe"
"20",46,"Avar","Western Asia","Nakh-Daghestanian",40.581275,-73.961918,"Asia"
"21",47,"Avestan","Southern Asia","Indo-European",41.168459,-74.052398,"Asia"
"22",49,"Azeri","Western Asia","Turkic",40.592053,-73.956569,"Asia"
"23",50,"Azeri","Western Asia","Turkic",40.63848221,-73.97729244,"Asia"
"24",51,"Azeri","Western Asia","Turkic",40.772544,-74.162679,"Asia"
"25",53,"Bahing","Southern Asia","Sino-Tibetan",40.746508,-73.889608,"Asia"
"26",56,"Balinese","Southeastern Asia","Austronesian",40.741302,-73.876066,"Asia"
"27",57,"Balkan Romani","Southern Europe","Indo-European",40.856912,-73.884968,"Europe"
"28",58,"Balochi","Southern Asia","Indo-European",40.64357398,-73.97020728,"Asia"
"29",62,"Banguingui","Southeastern Asia","Austronesian",40.745902,-73.901535,"Asia"
"30",63,"Banjarese","Southeastern Asia","Austronesian",40.738497,-73.88737,"Asia"
