"","Language","World.Region","Language.Family","Latitude","Longitude"
"1","Abaza","Western Asia","Abkhaz-Adyge",40.938823,-74.20013
"2","Abruzzese","Southern Europe","Indo-European",40.773556,-73.927065
"3","Abruzzese","Southern Europe","Indo-European",40.71870175,-73.99578719
"4","Acehnese","Southeastern Asia","Austronesian",40.759046,-73.90984
"5","Acehnese","Southeastern Asia","Austronesian",40.74409,-73.883277
"6","Adjoukrou","Western Africa","Atlantic-Congo",40.823438,-73.924661
"7","Adyghe","Western Asia","Abkhaz-Adyge",40.938436,-74.201318
"8","Afenmai","Western Africa","Atlantic-Congo",40.828522,-73.857731
"9","African-American English","Northern America","Indo-European",40.687229,-73.932571
"10","African-American English","Northern America","Indo-European",40.809904,-73.950127
"11","African-American English","Northern America","Indo-European",40.623352,-74.081959
"12","African-American English","Northern America","Indo-European",40.884322,-73.832166
"13","African-American English","Northern America","Indo-European",40.70967407,-73.62760223
"14","African-American English","Northern America","Indo-European",40.711927,-73.760906
"15","African-American English","Northern America","Indo-European",40.73732671,-74.17030119
"16","Afrikaans","Southern Africa","Indo-European",40.74689,-73.972213
"17","Akan","Western Africa","Atlantic-Congo",40.642143,-73.955321
"18","Akan","Western Africa","Atlantic-Congo",40.616309,-74.071775
"19","Akan","Western Africa","Atlantic-Congo",40.714861,-74.00554
"20","Akan","Western Africa","Atlantic-Congo",40.860277,-73.906426
"21","Aklanon","Southeastern Asia","Austronesian",40.747282,-73.900335
"22","Algerian Arabic","Northern Africa","Afro-Asiatic",40.767732,-73.911146
"23","Alsatian","Western Europe","Indo-European",40.758302,-73.953521
"24","Amdo Tibetan","Eastern Asia","Sino-Tibetan",40.70228112,-73.98375193
"25","Amdo Tibetan","Eastern Asia","Sino-Tibetan",40.747428,-73.891413
"26","Amharic","Eastern Africa","Afro-Asiatic",40.762268,-74.224662
"27","Amharic","Eastern Africa","Afro-Asiatic",40.826295,-73.943423
"28","Amharic","Eastern Africa","Afro-Asiatic",40.876516,-73.874584
"29","Amuzgo","Central America","Otomanguean",40.743213,-73.855029
"30","Anaang","Western Africa","Atlantic-Congo",40.880319,-73.8815
"31","Ancient Greek","Southern Europe","Indo-European",40.72359,-74.006388
"32","Antigua and Barbuda Creole","Caribbean","Indo-European",40.80838503,-73.94520618
"33","Appolo","Western Africa","Atlantic-Congo",40.822938,-73.924661
"34","Arbëresh","Southern Europe","Indo-European",40.553878,-74.137489
"35","Arbëresh","Southern Europe","Indo-European",40.72292322,-73.99188292
"36","Aromanian","Southern Europe","Indo-European",40.70370922,-73.903396
"37","Aromanian","Southern Europe","Indo-European",41.23495,-73.21967
"38","Ashanti","Western Africa","Atlantic-Congo",40.615092,-74.087244
"39","Ashanti","Western Africa","Atlantic-Congo",40.642052,-73.963009
"40","Ashanti","Western Africa","Atlantic-Congo",40.855341,-73.913553
"41","Assyrian Neo-Aramaic","Western Asia","Afro-Asiatic",40.923615,-73.899727
"42","Asturian","Southern Europe","Indo-European",40.758723,-73.917829
"43","Australian English","Australia and New Zealand","Indo-European",40.722269,-73.996242
